CAS #,Formatted CAS #,Substance Name,Acidification Air (kg SO2 eq / kg substance),"Ecotox. CF [CTUeco/kg], Em.airU, freshwater","Ecotox. CF [CTUeco/kg], Em.airC, freshwater","Ecotox. CF [CTUeco/kg], Em.fr.waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.sea waterC, freshwater","Ecotox. CF [CTUeco/kg], Em.nat.soilC, freshwater","Ecotox. CF [CTUeco/kg], Em.agr.soilC, freshwater",CF Flag Ecotox,Global Climate Air (kg CO2 eq / kg substance),"Human health CF  [CTUcancer/kg], Emission to urban air, cancer","Human health CF  [CTUnoncancer/kg], Emission to urban air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. rural air, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. rural air, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. freshwater, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. freshwater, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. sea water, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. sea water, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. natural soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. natural soil, non-canc.","Human health CF  [CTUcancer/kg], Emission to cont. agric. Soil, cancer","Human health CF  [CTUnoncancer/kg], Emission to cont. agric. Soil, non-canc.",CF Flag HH carcinogenic,CF Flag HH non-carcinogenic,HH Particulate Air (PM2.5 eq / kg substance),Ozone Depletion Air (kg CFC-11 eq / kg substance),Photochemical Oxidation Formation Air (kg O3 eq / kg substance),
50000,50-00-0,FORMALDEHYDE,n/a,2.76E+01,2.60E+01,2.97E+02,2.44E-02,8.40E+01,8.40E+01,Recommended,n/a,2.54E-05,2.67E-07,1.39E-06,7.54E-08,1.24E-07,3.24E-07,1.31E-09,1.37E-10,2.76E-07,9.96E-08,2.88E-07,1.48E-07,Recommended,Recommended,n/a,n/a,9.46E+00,
50066,50-06-6,PHENOBARBITAL,n/a,1.44E+01,1.38E+01,8.10E+01,1.73E-10,1.52E+01,1.52E+01,Interim,n/a,2.34E-05,n/a,1.74E-05,n/a,2.27E-05,n/a,6.83E-09,n/a,4.28E-06,n/a,7.92E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
50180,50-18-0,CYCLOPHOSPHAMIDE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.45E-06,n/a,8.81E-07,n/a,7.33E-06,n/a,1.94E-09,n/a,1.03E-06,n/a,1.61E-06,n/a,Recommended,n/a,n/a,n/a,n/a,
50248,50-24-8,PREDNISOLONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.25E-05,n/a,7.74E-05,n/a,8.63E-05,n/a,7.38E-08,n/a,1.50E-05,n/a,2.67E-05,n/a,Recommended,n/a,n/a,n/a,n/a,
50282,50-28-2,ESTRADIOL,n/a,3.28E+06,8.05E+05,1.84E+08,4.99E-01,2.55E+05,2.55E+05,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
50293,50-29-3,"P,P'-DDT",n/a,6.74E+03,4.90E+03,2.78E+05,1.89E+02,3.15E+02,3.15E+02,Recommended,n/a,5.83E-05,4.65E-05,5.24E-05,4.18E-05,5.33E-04,4.25E-04,9.25E-05,7.37E-05,1.21E-06,9.67E-07,1.65E-06,1.32E-06,Recommended,Recommended,n/a,n/a,n/a,
50306,50-30-6,"2,6-DICHLOROBENZOIC ACID",n/a,5.73E+01,5.53E+01,3.00E+02,3.99E-04,6.50E+01,6.50E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
50317,50-31-7,"2,3,6-TRICHLOROBENZOIC ACID",n/a,5.58E+01,5.19E+01,3.99E+02,5.55E-03,5.50E+01,5.50E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
50328,50-32-8,BENZO[A]PYRENE,n/a,1.70E+02,4.35E+01,1.17E+04,5.40E-02,2.09E+00,2.09E+00,Recommended,n/a,4.50E-05,n/a,2.48E-05,n/a,3.42E-05,n/a,6.79E-06,n/a,7.69E-09,n/a,1.15E-06,n/a,Interim,n/a,n/a,n/a,n/a,
50339,50-33-9,PHENYLBUTAZONE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.78E-07,n/a,5.41E-08,n/a,3.75E-07,n/a,3.41E-09,n/a,1.32E-09,n/a,5.57E-09,n/a,Recommended,n/a,n/a,n/a,n/a,
50442,50-44-2,6-PURINETHIOL HYDRATE,n/a,7.27E+00,3.14E+00,3.44E+02,1.92E-10,2.44E+01,2.44E+01,Interim,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
