State,Facility Name,Facility ID,Unit ID,Associated Stacks,Year,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
KY,Smith Generating Facility,54,SCT1,,2024,1122,978.62,91949.4,,0.377,0.001,72898.095,0.0591,34.886,0.0641,1226118.609,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT1,,2025,1444,1288.14,122796.76,,0.498,0.001,97387.359,0.0591,45.548,0.0617,1638316.267,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT1,,2026,782,702.34,73579.03,,0.364,0.0012,56777.475,0.0592,31.964,0.0757,951166.663,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT10,,2024,932,827.99,60644.85,,0.166,0.001,32844.725,0.0591,3.345,0.0146,552658.426,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT10,,2025,2445,2201.66,155232.82,,0.433,0.001,85798.345,0.0591,8.786,0.0145,1443714.94,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT10,,2026,1108,1014.8,77291.95,,0.211,0.001,41717.277,0.059,4.358,0.0148,701974.549,Pipeline Natural Gas,,Combustion turbine,,Water Injection|Selective Catalytic Reduction,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT2,,2024,1020,897.51,84548.47,,0.352,0.001,68214.401,0.0591,38.723,0.0726,1147382.199,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT2,,2025,1189,1067.33,103874.35,,0.442,0.0011,83207.872,0.0591,43.109,0.0673,1398702.994,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT2,,2026,737,662.94,69791.33,,0.341,0.0012,54487.404,0.0594,28.188,0.0734,913182.429,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
KY,Smith Generating Facility,54,SCT3,,2024,1013,887.29,85145.32,,0.351,0.0011,67168.262,0.0592,35.424,0.0678,1129550.638,Pipeline Natural Gas,Residual Oil,Combustion turbine,,Water Injection,,,"ARP, CSNOX, CSOSG2E, CSSO2G1"
